complaint_text,category
Electric pole leaning after road work near MG Road and it is causing inconvenience,Electrical
Complaint raised because Muddy water coming from taps in Mission Street near residential houses,Water
Complaint raised because Power cable exposed near Indira Gandhi Square and it is causing inconvenience,Electrical
Complaint raised because Electric pole damaged near Nellithope near residential houses,Electrical
"Please check, Voltage fluctuation in Thavalakuppam for the past few days",Electrical
"Please check, Water stagnation due to blocked drain near Kuruchikuppam for the past few days",Sanitation
Residents reported that Bad smell and water accumulation near Villianur school near residential houses,Sanitation
Local people say that Illegal parking near Puducherry Bus Stand,Other
Complaint raised because Water leaking from underground pipe near Beach Road,Water
Short circuit reported near leaking water pipe in Mudaliarpet for the past few days,Electrical
Residents reported that Road shoulder collapsed near Nellithope near residential houses,Roads
Local people say that Garbage mixed with stagnant water near MG Road and it is causing inconvenience,Sanitation
"Please check, Public toilet not cleaned near Mission Street near residential houses",Sanitation
Complaint raised because Transformer sparking near Kottakuppam and it is causing inconvenience,Electrical
Residents reported that Road damaged after pipeline repair near MG Road,Roads
Complaint raised because Speed breaker damaged near Thavalakuppam near residential houses,Roads
Stretlight not working in Puducherry Bus Stand,Electrical
Residents reported that Road shoulder collapsed near Kottakuppam near residential houses,Roads
Low water pressure in houses near White Town requiring urgent action,Water
Residents reported that Pipeline burst near Indira Gandhi Square main road near residential houses,Water
Residents reported that Water leaking from underground pipe near Ariyankuppam and it is causing inconvenience,Water
"Please check, Water tank overflow near MG Road",Water
"Please check, Road collapsed due to underground water leak near Puducherry Bus Stand",Roads
Stray dog problm near Puducherry Bus Stand,Other
Local people say that Electric pole damaged near Kottakuppam and it is causing inconvenience,Electrical
Traffic signal not working near Nellithope and it is causing inconvenience,Other
Local people say that Electric pole damaged during road repair near Villianur near residential houses,Electrical
Complaint raised because Damaged public bench near Kalapet during peak hours,Other
Water overflowing around electrical pole near MG Road for the past few days,Water
Residents reported that Noise complaint near Puducherry Bus Stand requiring urgent action,Other
Residents reported that Tree branches blocking path near Puducherry Bus Stand during peak hours,Other
Local people say that Public park maintenance needed in Villianur and it is causing inconvenience,Other
Playground equipment broken near Beach Road near residential houses,Other
Local people say that Blocked sewage line near Rainbow Nagar near residential houses,Sanitation
Drainage overflow near Kalapet and it is causing inconvenience,Sanitation
Encroachment on public space near Kottakuppam during peak hours,Other
Complaint raised because Abandoned vehicle blocking road near Villianur requiring urgent action,Other
Residents reported that Garbage not collected in Lawspet and it is causing inconvenience,Sanitation
Residents reported that Abandoned vehicle blocking road near Lawspet near residential houses,Other
Residents reported that No drinking water supply in Beach Road for two days near residential houses,Water
Residents reported that Pedestrian path broken near Rainbow Nagar for the past few days,Roads
Complaint raised because Water leaking from underground pipe near Lawspet requiring urgent action,Water
Residents reported that Short circuit reported near leaking water pipe in Bahour requiring urgent action,Electrical
Road brokn near Mudaliarpet,Roads
"Please check, Mosquito breeding due to stagnant water in Indira Gandhi Square during peak hours",Sanitation
Residents reported that Voltage fluctuation in Puducherry Bus Stand during peak hours,Electrical
Residents reported that Road shoulder collapsed near Kottakuppam,Roads
"Please check, Traffic signal not working near White Town for the past few days",Other
Residents reported that Public tap leaking continuously in Puducherry Bus Stand near residential houses,Water
Residents reported that Speed breaker damaged near Kalapet and it is causing inconvenience,Roads
Public toilet not cleaned near Ariyankuppam requiring urgent action,Sanitation
Road cracked after heavy rain in Mission Street and it is causing inconvenience,Roads
Local people say that Water tank overflow near Bahour requiring urgent action,Water
Blocked sewage line near Thavalakuppam requiring urgent action,Sanitation
Residents reported that Water pipe leakage near Bahour school near residential houses,Water
Complaint raised because Streetlight flickering near Rainbow Nagar during peak hours,Electrical
Voltage fluctuation in Oulgaret near residential houses,Electrical
Residents reported that Tree branches blocking path near Mudaliarpet for the past few days,Other
Garbage not collected in Oulgaret for the past few days,Sanitation
Local people say that Stray dogs chasing people in Mudaliarpet during peak hours,Other
Complaint raised because Street vendors blocking walkway near Reddiarpalayam requiring urgent action,Other
Complaint raised because Damaged public bench near Indira Gandhi Square requiring urgent action,Other
Garbage near public tap causing water blockage in Rainbow Nagar and it is causing inconvenience,Sanitation
"Please check, Junction box open near Reddiarpalayam during peak hours",Electrical
Local people say that Traffic signal not working near Thavalakuppam near residential houses,Other
"Please check, Street vendors blocking walkway near Nellithope and it is causing inconvenience",Other
Local people say that Garbage dumped near drainage water in MG Road,Sanitation
"Please check, Water tank overflow near Puducherry Bus Stand near residential houses",Water
Local people say that Muddy water coming from taps in MG Road requiring urgent action,Water
Residents reported that Road damaged after pipeline repair near Puducherry Bus Stand and it is causing inconvenience,Roads
"Please check, Water leaking from underground pipe near Muthialpet during peak hours",Water
"Please check, Road damaged after pipeline repair work in Kuruchikuppam requiring urgent action",Roads
Local people say that Something is leaking continuously near Reddiarpalayam market for the past few days,Water
Low water pressure in houses near Lawspet and it is causing inconvenience,Water
"Please check, Bad smell from open drain in White Town and it is causing inconvenience",Sanitation
Complaint raised because Streetlights off during night in MG Road for the past few days,Electrical
Sewage water flowing on road near Thavalakuppam requiring urgent action,Sanitation
Complaint raised because Pipeline burst near Muthialpet main road for the past few days,Water
Local people say that Encroachment on public space near Lawspet,Other
Residents reported that Drainage overflow near Kottakuppam during peak hours,Sanitation
Residents reported that Short circuit reported near Mission Street requiring urgent action,Electrical
Complaint raised because Uneven road causing traffic near Kottakuppam for the past few days,Roads
Complaint raised because Electric pole damaged near Kuruchikuppam requiring urgent action,Electrical
Local people say that Short circuit reported near leaking water pipe in Mission Street during peak hours,Electrical
Complaint raised because Garbage near public tap causing water blockage in Muthialpet near residential houses,Sanitation
Local people say that Pedestrian path broken near Kalapet near residential houses,Roads
Drain blocked with plastic waste in Rainbow Nagar,Sanitation
"Please check, Waste pile near Kuruchikuppam market for the past few days",Sanitation
Residents reported that Low water pressure in houses near White Town during peak hours,Water
Residents reported that Public tap leaking continuously in Thavalakuppam requiring urgent action,Water
"Please check, Traffic signal not working near Reddiarpalayam and it is causing inconvenience",Other
Residents reported that Something is leaking continuously near White Town market near residential houses,Water
Potholes filled with rainwater near Mudaliarpet during peak hours,Roads
Complaint raised because Voltage fluctuation in Kottakuppam and it is causing inconvenience,Electrical
Stretlight not working in Kalapet,Electrical
Local people say that Pedestrian path broken near Bahour and it is causing inconvenience,Roads
"Please check, Large pothole near Ariyankuppam bus stop",Roads
Complaint raised because Water overflowing around electrical pole near Beach Road,Water
Loose gravel causing bikes to skid near Kottakuppam,Roads
Complaint raised because Transformer sparking near Thavalakuppam requiring urgent action,Electrical
Residents reported that Drain blocked with plastic waste in Bahour,Sanitation
"Please check, Streetlight flickering near Kalapet near residential houses",Electrical
Complaint raised because Electric pole leaning after road work near White Town near residential houses,Electrical
Local people say that Noise complaint near Bahour during peak hours,Other
Junction box open near Oulgaret for the past few days,Electrical
Residents reported that Loose gravel causing bikes to skid near White Town during peak hours,Roads
